product_id,product_category,region,store_type,brand,sales_amount,discount,units_sold,purchase_amount,delivery_time,return_rate
pcdt250,Electronics,South,Retail,BrandA,884.95,37.46,84.82,1326.61,9.53,0.04
pcdt1076,Clothing,East,Online,BrandB,173.11,25.1,84.76,1860.83,7.19,0.01
pcdt123,Sports,East,Online,BrandA,936.82,3.17,10.0,999.8,1.1,0.02
pcdt836,Electronics,West,Online,BrandD,897.81,10.33,54.97,70.99,1.06,0.08
pcdt797,Electronics,West,Retail,BrandD,715.84,34.7,45.12,1666.93,8.33,0.01
pcdt940,Electronics,North,Retail,BrandC,228.07,15.88,29.22,742.88,8.69,0.01
pcdt738,Sports,South,Online,BrandC,860.0,9.16,44.61,1342.04,3.56,0.08
pcdt211,Home,West,Online,BrandD,551.98,26.84,41.47,1793.95,7.18,0.01
pcdt41,Electronics,North,Retail,BrandC,549.32,49.92,58.74,345.46,8.57,0.08
pcdt244,Electronics,North,Retail,BrandB,844.31,6.41,2.21,246.95,5.12,0.04
pcdt668,Home,North,Retail,BrandB,741.69,35.97,36.26,468.18,6.39,0.07
pcdt538,Home,West,Online,BrandD,648.14,2.35,82.32,1648.97,7.3,0.01
pcdt251,Electronics,East,Online,BrandD,851.35,40.17,62.98,1445.26,1.32,0.06
pcdt568,Clothing,East,Retail,BrandA,696.16,7.12,60.75,1459.02,6.91,0.09
pcdt1025,Home,South,Online,BrandD,258.61,15.44,10.52,1746.04,2.33,0.06
pcdt243,Electronics,North,Online,BrandB,889.38,47.5,29.93,1614.22,5.18,0.05
pcdt185,Home,East,Retail,BrandA,952.85,24.78,98.93,235.23,1.65,0.07
pcdt856,Clothing,East,Retail,BrandB,893.24,41.58,79.5,483.47,3.48,0.09
pcdt927,Electronics,East,Retail,BrandB,807.84,5.43,90.23,1466.2,8.11,0.02
pcdt491,Sports,North,Online,BrandD,49.28,21.69,17.72,792.89,5.09,0.05
pcdt252,Sports,North,Online,BrandB,209.51,30.49,64.13,1914.86,2.05,0.04
pcdt794,Clothing,East,Online,BrandD,749.94,3.99,43.97,1761.78,5.84,0.06
pcdt938,Electronics,West,Online,BrandC,221.14,38.45,42.69,456.36,5.71,0.02
pcdt1094,Electronics,North,Retail,BrandA,529.23,48.0,39.26,514.45,3.57,0.02
pcdt300,Home,East,Retail,BrandB,455.02,28.36,49.87,1999.09,6.55,0.07
pcdt652,Sports,South,Online,BrandB,62.72,42.88,78.56,1379.29,6.33,0.03
pcdt1005,Sports,North,Retail,BrandD,459.24,33.59,65.13,804.36,9.38,0.01
pcdt751,Home,North,Online,BrandA,598.81,49.2,41.34,554.66,3.94,0.06
pcdt569,Sports,West,Retail,BrandA,500.07,15.03,23.26,316.68,4.52,0.06
pcdt1018,Electronics,West,Online,BrandC,69.58,16.04,25.58,1847.43,5.2,0.06
pcdt768,Electronics,South,Retail,BrandA,131.11,43.43,89.83,915.71,5.48,0.05
pcdt246,Clothing,West,Online,BrandA,137.14,5.77,46.96,308.88,8.57,0.02
pcdt105,Electronics,South,Online,BrandC,725.88,12.92,61.31,479.2,6.11,0.08
pcdt79,Sports,West,Online,BrandA,401.83,41.84,25.53,847.57,3.75,0.02
pcdt922,Electronics,North,Online,BrandA,758.59,35.44,55.21,50.94,7.32,0.01
pcdt30,Sports,North,Online,BrandC,243.04,18.5,95.7,471.16,9.76,0.0
pcdt554,Clothing,East,Online,BrandA,741.37,2.65,86.03,459.14,2.53,0.03
pcdt544,Home,West,Retail,BrandD,814.93,34.07,27.34,881.92,2.28,0.0
pcdt1010,Sports,South,Retail,BrandA,907.78,22.59,22.4,1413.59,5.48,0.05
pcdt575,Sports,South,Retail,BrandC,620.96,42.14,43.24,1470.71,4.84,0.07
pcdt86,Clothing,South,Retail,BrandD,492.21,49.09,17.92,192.94,3.91,0.03
pcdt590,Electronics,West,Online,BrandD,659.12,39.75,66.54,1718.23,9.34,0.06
pcdt655,Electronics,West,Retail,BrandC,681.52,33.23,81.2,1545.45,5.06,0.06
pcdt1195,Home,East,Retail,BrandD,151.08,0.9,37.0,946.93,9.85,0.04
pcdt1151,Electronics,North,Online,BrandC,355.22,23.24,14.0,1242.34,7.25,0.05
pcdt705,Home,West,Retail,BrandD,789.33,42.86,54.98,775.08,7.98,0.1
pcdt444,Clothing,North,Online,BrandD,459.25,19.41,69.12,1741.34,2.68,0.01
pcdt657,Clothing,East,Retail,BrandC,356.57,28.81,57.45,594.18,3.96,0.03
pcdt771,Clothing,East,Retail,BrandC,585.52,23.93,82.4,520.36,1.57,0.08
